Predicted Winner,Underdog
Oklahoma St,UC San Diego
North Alabama,Alcorn St
South Florida,UNC Asheville
Southern Indiana,Tulane
W Texas A&M,California
Mercer,Oregon
Norfolk St,Southern Utah
Texas A&M,Monmouth NJ
Santa Clara,Oakland
Norfolk St,Bucknell
St Mary's CA,Florida Intl
Portland,N Illinois
Niagara,Tennessee Tech
St Joseph's PA,Northern Iowa
MS Valley St,Columbia
Baylor,Florida
F Dickinson,Delaware
Vermont,Brown
Connecticut,NC Central
MS Valley St,Longwood
SF Austin,Penn
SC Upstate,Army
Yale,Oregon St
Texas A&M,Jacksonville St
Maine,San Diego
Denver,Lipscomb
UCF,NC State
Manhattan,Northern Iowa
C Michigan,Nicholls St
W Texas A&M,Central Conn
Long Beach St,La Salle
Evansville,TX Southern
UCF,Louisiana
E Michigan,New Mexico
Centenary,Missouri
SUNY Albany,Towson
Grambling,SF Austin
Miami OH,Vanderbilt
SE Louisiana,Hawaii
Mercer,Virginia
Illinois St,Hofstra
Presbyterian,CS Bakersfield
East Carolina,Kentucky
Lafayette,Citadel
Southern Indiana,Morehead St
MA Lowell,Norfolk St
Norfolk St,Kentucky
Georgetown,St Francis NY
Oregon St,Richmond
Loyola MD,WI Milwaukee
Florida A&M,Texas A&M
Wofford,TN Martin
Queens NC,Indiana
Detroit,Liberty
Wagner,Penn
Iowa,Marshall
WI Green Bay,San Diego St
Colorado,Creighton
Iowa,McNeese St
Loyola-Chicago,Fordham
Rider,James Madison
Akron,Marist
Maine,Michigan St
Ball St,F Dickinson
Hartford,BYU
Creighton,S Dakota St
Missouri KC,SF Austin
Grand Canyon,Austin Peay
Arkansas St,Loyola MD
Georgia St,W Illinois
Maine,Loyola MD
FGCU,Oklahoma St
Arizona St,Georgia St
NE Illinois,NC A&T
South Alabama,Longwood
Nicholls St,Kennesaw
Oklahoma St,Louisiana
LSU,St Francis PA
Bethune-Cookman,Oakland
TN Martin,Hartford
Michigan St,Southern Univ
Charleston So,Southern Univ
SC Upstate,Jackson St
Kansas St,San Diego St
Coastal Car,North Carolina
Delaware,SE Louisiana
Minnesota,South Alabama
UMBC,Arizona St
NC Central,PFW
Marquette,UMBC
Portland St,Duke
Holy Cross,Yale
SMU,Nicholls St
Abilene Chr,Incarnate Word
Kennesaw,West Virginia
Indiana St,St Peter's
Alliant Intl,Wofford
Houston,FL Atlantic
Georgetown,TX Southern
St John's,Wofford
Chicago St,ULM
Houston Chr,PFW
Youngstown St,Centenary
Grand Canyon,Stony Brook
James Madison,Georgia
Toledo,Iowa St
Evansville,Louisiana
Mississippi St,Lindenwood
Abilene Chr,Dartmouth
Purdue,Arizona
W Texas A&M,FL Atlantic
Hartford,Elon
WI Green Bay,North Alabama
Augusta,Butler
W Texas A&M,Quinnipiac
Pittsburgh,Bethune-Cookman
Ohio St,SMU
Fairfield,Alliant Intl
Lipscomb,Fresno St
Valparaiso,Jacksonville St
Army,St Francis NY
C Michigan,SUNY Albany
Wyoming,North Florida
Butler,MTSU
W Carolina,Birmingham So
Liberty,Indiana St
Ark Pine Bluff,MTSU
Morgan St,Texas St
Northern Iowa,S Illinois
Penn St,Denver
Mt St Mary's,Pepperdine
VMI,North Alabama
Penn,LSU
Detroit,Temple
North Alabama,Longwood
Tennessee St,Hardin-Simmons
Rice,Iowa St
CS Northridge,UNLV
Oakland,St Mary's CA
Queens NC,Cornell
North Florida,Delaware St
Bowling Green,Nevada
Clemson,DePaul
Charleston So,Bryant
UNC Greensboro,Miami FL
Ark Little Rock,Lipscomb
Delaware St,East Carolina
Boise St,Monmouth NJ
NC Central,St John's
Colorado St,Creighton
Toledo,Buffalo
Xavier,Southern Indiana
Utah Tech,Missouri
Notre Dame,Indiana
South Carolina,Missouri
Drexel,Hartford
North Florida,Kansas St
Col Charleston,Auburn
North Florida,Incarnate Word
N Dakota St,Lamar
Manhattan,Loy Marymount
UT Arlington,Utah Tech
Florida St,Loyola-Chicago
North Texas,Northern Iowa
New Mexico St,SC Upstate
Tulsa,Georgia
Navy,San Diego
S Carolina St,FL Atlantic
Liberty,Detroit
Stetson,Tulane
Binghamton,Coastal Car
W Texas A&M,Michigan
Charleston So,Ark Little Rock
Virginia Tech,Georgia St
Idaho,Cornell
Villanova,Texas St
CS Fullerton,Baylor
Kansas,E Washington
Illinois,Rhode Island
Richmond,Montana
Florida,Grand Canyon
G Washington,South Florida
Iowa St,VCU
CS Northridge,Armstrong St
Ark Little Rock,Providence
Florida St,Illinois
Duquesne,Stetson
Villanova,Houston Chr
Binghamton,Gardner Webb
Connecticut,Fordham
Arizona St,Ball St
Montana St,Idaho
Indiana,Samford
Hawaii,Jackson St
Austin Peay,Drake
Longwood,Oklahoma St
E Illinois,Lipscomb
Colorado St,Winthrop
Illinois,Marist
UC Irvine,UNLV
Michigan St,Navy
South Alabama,Elon
Washington,Pacific
Le Moyne,High Point
Oakland,Ohio
Miami FL,Utah Tech
SE Louisiana,Portland St
S Dakota St,St Thomas MN
Cincinnati,NC A&T
Delaware St,Augusta
Coppin St,Ball St
LIU Brooklyn,Mississippi St
Cleveland St,Canisius
New Mexico St,Mercyhurst
N Dakota St,Texas St
Virginia Tech,Lehigh
Illinois,Marquette
Stanford,Col Charleston
Oregon St,UNLV
Central Conn,Alliant Intl
Connecticut,Delaware St
S Illinois,Kansas
Stonehill,Indiana
Michigan St,Savannah St
Delaware,Oral Roberts
SMU,Arizona
Wofford,Texas St
Baylor,Colorado
Arizona,Utah
Boston College,Lehigh
Lipscomb,SC Upstate
Akron,Charlotte
Akron,Morris Brown
Creighton,Georgia St
Stanford,Delaware
Binghamton,SMU
Maryland,LSU
William & Mary,Liberty
San Diego St,Bowling Green
Troy,Northeastern
Bethune-Cookman,Indiana
UCF,Virginia
UC Davis,Tennessee St
NE Omaha,Central Conn
Long Beach St,Central Conn
Boise St,Dartmouth
Alabama,Maine
Citadel,Florida
St Joseph's PA,Oakland
Savannah St,Southern Univ
American Univ,Georgetown
Towson,Rhode Island
FL Atlantic,Oakland
Tennessee St,Purdue
Kansas,VCU
Bradley,Michigan St
Nebraska,Ohio
Binghamton,Alabama St
Montana St,Kentucky
St John's,Arkansas
Gardner Webb,MS Valley St
South Dakota,Colorado
Central Conn,Vermont
Oregon St,Columbia
Southern Miss,Quinnipiac
Alabama,Furman
W Illinois,VMI
Penn St,Virginia
Kennesaw,Grambling
Hampton,Liberty
N Dakota St,Merrimack
Stetson,N Illinois
Pepperdine,La Salle
Florida Intl,Old Dominion
Quinnipiac,Washington
NE Omaha,Houston
Youngstown St,San Diego St
S Carolina St,West Virginia
UMBC,Texas Tech
E Michigan,Pepperdine
Utica,Virginia
Drake,Presbyterian
UAB,UTEP
Weber St,Utah St
MA Lowell,Queens NC
N Illinois,Birmingham So
Maine,Army
Marquette,Marist
Florida Intl,St John's
William & Mary,Sacred Heart
California,NJIT
Loyola MD,DePaul
Niagara,Illinois St
Delaware,West Virginia
St Bonaventure,Pepperdine
West Georgia,New Mexico St
Hampton,Indiana St
South Dakota,Rhode Island
Northern Iowa,Cleveland St
Missouri KC,Louisiana
Louisville,Columbia
South Carolina,Drake
Idaho St,MS Valley St
New Mexico,UNC Asheville
Colgate,Marshall
Colorado St,Grand Canyon
NE Illinois,St Mary's CA
NC State,Lamar
Loy Marymount,Providence
Rutgers,Portland St
St Francis NY,Morehead St
Savannah St,Alcorn St
UC Davis,Jacksonville St
NC State,Binghamton
Memphis,Illinois St
UC Irvine,Navy
Fresno St,Missouri KC
Coppin St,Prairie View
Southern Miss,Cal Baptist
St Mary's CA,Northern Iowa
Missouri,San Diego St
Ohio St,Santa Clara
Louisiana,Augusta
South Florida,UC Riverside
Rider,NC State
High Point,St Mary's CA
Lamar,North Texas
Alabama St,Oregon
Oregon,Quinnipiac
San Diego St,Utica
Georgia St,Harvard
Bucknell,NC A&T
E Michigan,Florida
Oral Roberts,Brown
Col Charleston,Central Conn
St Joseph's PA,St Francis PA
CS Sacramento,Miami OH
Nicholls St,Northern Arizona
Miami OH,Morgan St
Pittsburgh,Seton Hall
Indiana St,Marshall
Texas Tech,Wichita St
Canisius,Illinois
USC,TAM C. Christi
Pittsburgh,BYU
Georgia Tech,Le Moyne
Monmouth NJ,Virginia
Howard,PFW
ETSU,Mercer
Citadel,Southern Miss
NE Omaha,Alliant Intl
Bethune-Cookman,Niagara
E Washington,CS Northridge
Mercer,E Michigan
East Texas A&M,Jacksonville
Southern Utah,Columbia
Indiana,Howard
West Georgia,Seattle
Augusta,Dartmouth
Savannah St,San Francisco
Virginia Tech,Fresno St
NC Central,Cleveland St
Iona,Texas
James Madison,UNC Asheville
Delaware St,Arizona St
W Texas A&M,Hampton
Old Dominion,NC State
San Diego,IUPUI
Vanderbilt,South Carolina
Gardner Webb,Oakland
North Alabama,Winthrop
Detroit,Mississippi
Ohio St,Villanova
Miami FL,Army
California,Utah Valley
Pittsburgh,Mt St Mary's
Missouri,NC A&T
San Jose St,E Washington
Le Moyne,Florida
UMBC,Ball St
Col Charleston,Coppin St
Alabama St,Providence
Illinois,Oregon St
Savannah St,Ga Southern
Seattle,Florida Intl
UC San Diego,Incarnate Word
W Carolina,Col Charleston
E Washington,Lindenwood
Robert Morris,CS Fullerton
Davidson,Tennessee St
Colorado,North Dakota
North Alabama,Texas
E Washington,Colgate
Alabama A&M,Drexel
Utah,Wake Forest
Tennessee,ULM
North Alabama,MA Lowell
Gonzaga,Tulsa
Wake Forest,FL Atlantic
Samford,Wake Forest
Norfolk St,Colorado St
UTRGV,Seattle
Northern Iowa,Washington St
F Dickinson,Rutgers
Georgia Tech,Stanford
Monmouth NJ,N Colorado
Lehigh,Harvard
Michigan St,Marist
W Salem St,Dartmouth
Boston College,Tarleton St
W Salem St,Portland
Missouri St,Bradley
Houston,Elon
Missouri,BYU
Coppin St,Stonehill
Southern Miss,American Univ
LIU Brooklyn,Louisville
Drexel,Boise St
Kent,Richmond
Old Dominion,Portland
Gonzaga,Boston Univ
Miami OH,Pepperdine
American Univ,E Kentucky
Belmont,UTEP
Maine,W Illinois
NJIT,Arizona
Southern Utah,Wisconsin
Wright St,Rhode Island
North Dakota,Pepperdine
American Univ,Miami OH
Colorado St,Rhode Island
Alabama St,Miami FL
Kentucky,Minnesota
St Bonaventure,Texas Tech
Kentucky,Vermont
Princeton,East Carolina
Marshall,Old Dominion
Charleston So,Richmond
Gardner Webb,North Texas
St John's,Wisconsin
Evansville,SIUE
SF Austin,Montana St
UTRGV,Yale
E Michigan,Texas Tech
G Washington,Bryant
Dayton,North Carolina
St Louis,Samford
Iowa,North Dakota
Norfolk St,San Francisco
Pepperdine,Butler
Siena,SMU
Alabama St,Tennessee St
SMU,E Washington
St Thomas MN,Robert Morris
Utah Valley,E Illinois
Col Charleston,Towson
Southern Indiana,Boston Univ
Army,F Dickinson
Arkansas St,Richmond
Florida,St Peter's
Texas,Duquesne
TX Southern,Incarnate Word
Massachusetts,Kentucky
Presbyterian,Kansas
San Diego,Arkansas St
George Mason,Marquette
UNLV,New Hampshire
Coastal Car,Bowling Green
UC San Diego,Texas A&M
Valparaiso,Princeton
California,William & Mary
Missouri,UC Santa Barbara
Kennesaw,NE Illinois
CS Sacramento,Miami FL
Cal Baptist,St Mary's CA
Morgan St,Georgia Tech
Creighton,Liberty
Tulsa,George Mason
New Mexico St,Mercyhurst
Georgia St,St Mary's CA
IL Chicago,Lehigh
Armstrong St,SE Louisiana
North Alabama,Wofford
Evansville,TX Southern
Austin Peay,Iowa St
Missouri KC,UTEP
Holy Cross,Maryland
Grambling,UC Davis
Bethune-Cookman,Jacksonville St
Centenary,Kansas St
CS Bakersfield,Wright St
Lipscomb,Loyola-Chicago
South Dakota,UT Arlington
LSU,Stetson
Davidson,Kentucky
Buffalo,Norfolk St
Tennessee Tech,Ohio St
Hawaii,Jacksonville
Michigan,Mercyhurst
Jacksonville St,E Illinois
Virginia,Missouri
Iowa St,Citadel
Howard,Northeastern
VMI,Seton Hall
Dartmouth,N Colorado
West Georgia,BYU
Penn St,VCU
Ohio St,Elon
C Michigan,Dartmouth
MD E Shore,Iona
Le Moyne,Columbia
N Colorado,Washington
SUNY Albany,Michigan St
Fairfield,Le Moyne
Nicholls St,IL Chicago
Mt St Mary's,Pittsburgh
Texas,Austin Peay
Denver,Lehigh
Florida A&M,Navy
Texas St,PFW
TN Martin,FL Atlantic
Lafayette,SIUE
E Kentucky,Pacific
Kennesaw,Elon
New Mexico,Vanderbilt
SE Louisiana,NC A&T
WI Milwaukee,Brooklyn
Lafayette,Montana St
IL Chicago,La Salle
Tennessee,Nevada
East Texas A&M,Queens NC
Grand Canyon,Pittsburgh
Charlotte,Arizona St
Southern Utah,North Texas
Austin Peay,Boston Univ
Utah,Quinnipiac
Colgate,SE Louisiana
Mississippi St,Wichita St
DePaul,Texas A&M
Chattanooga,CS Northridge
Mercyhurst,Hofstra
Miami OH,Montana St
Prairie View,Merrimack
South Florida,Binghamton
Arkansas St,Jacksonville
Ball St,TX Southern
St Francis NY,Valparaiso
Binghamton,Harvard
Col Charleston,Wyoming
WI Green Bay,N Illinois
Queens NC,Fordham
Nevada,UNC Wilmington
Cent Arkansas,Lindenwood
Wyoming,VCU
Florida St,New Hampshire
St Francis PA,UMBC
Virginia,Richmond
Sam Houston St,Utah St
UCF,Murray St
St Mary's CA,E Michigan
Tennessee Tech,TCU
Kent,Boston College
IUPUI,UTEP
Marshall,F Dickinson
CS Bakersfield,W Texas A&M
Mercyhurst,North Alabama
Birmingham So,Bowling Green
Youngstown St,CS Sacramento
Manhattan,Vermont
Toledo,Siena
S Illinois,W Salem St
Idaho St,Rhode Island
Cincinnati,Kent
UCLA,Texas
St Mary's CA,Lehigh
Southern Indiana,New Hampshire
Wagner,Alabama
Long Beach St,Northern Arizona
E Washington,Hardin-Simmons
Armstrong St,Centenary
UTEP,Miami OH
Texas St,Texas
Penn St,William & Mary
Idaho St,Montana
DePaul,W Michigan
New Mexico St,Lindenwood
North Texas,Queens NC
Boston Univ,Loyola MD
Ark Pine Bluff,NC A&T
North Alabama,Bethune-Cookman
Lehigh,Akron
Hawaii,UC Davis
Tulane,Pittsburgh
Dayton,Holy Cross
Jacksonville,Michigan St
DePaul,NE Omaha
La Salle,Le Moyne
Wyoming,American Univ
VCU,Southern Miss
Canisius,Radford
IUPUI,Santa Clara
Dartmouth,North Florida
Marshall,Mississippi St
Ohio,Prairie View
New Mexico St,WKU
Baylor,Gardner Webb
Towson,Ohio St
Oakland,Delaware St
SMU,NC State
Utah Tech,WI Green Bay
Binghamton,TN Martin
Louisiana,Gardner Webb
Colgate,NJIT
George Mason,WI Milwaukee
Oregon,BYU
W Illinois,UNC Greensboro
Louisville,Tennessee St
Long Beach St,East Texas A&M
Wofford,NE Illinois
UNC Asheville,NE Omaha
Memphis,Florida St
Butler,Grambling
N Colorado,Marquette
Boise St,Maine
Rider,Tarleton St
Utica,Charleston So
TN Martin,Florida A&M
Florida St,PFW
Utah Tech,Idaho St
Central Conn,Long Beach St
Kent,Auburn
Portland,Houston
Centenary,Minnesota
South Dakota,Stonehill
Centenary,New Mexico
UC Riverside,Alcorn St
Grand Canyon,Wofford
Minnesota,Maine
Loyola MD,Bellarmine
East Texas A&M,Hartford
Drexel,NJIT
Tennessee Tech,Oklahoma St
Wyoming,Georgia Tech
George Mason,Cal Baptist
Iowa St,Indiana
Savannah St,Morris Brown
SF Austin,Notre Dame
Savannah St,Vanderbilt
Iowa,E Kentucky
Charleston So,Montana
Grambling,St Francis PA
Dartmouth,New Mexico
St Francis NY,Ga Southern
Louisiana Tech,Indiana St
Birmingham So,Savannah St
St John's,Indiana St
Gonzaga,Cent Arkansas
Furman,Michigan St
Nebraska,Howard
Duquesne,Delaware
Utah,St Thomas MN
TX Southern,Columbia
Montana,Cincinnati
Alliant Intl,Northern Iowa
Cornell,Dayton
MA Lowell,Birmingham So
East Texas A&M,Illinois
Bradley,Missouri
SF Austin,Florida A&M
Akron,Xavier
UNC Wilmington,SC Upstate
Oakland,Mt St Mary's
Fresno St,Northwestern LA
Evansville,Bryant
Iowa,Tulane
TCU,Penn
Kentucky,UC San Diego
Delaware,Connecticut
Detroit,Ohio St
Florida A&M,NC State
Austin Peay,MTSU
North Texas,Cleveland St
South Florida,Tulane
St Bonaventure,Akron
Florida A&M,UAB
SE Missouri St,Seton Hall
Southern Miss,St John's
Augusta,Michigan
UMBC,USC
Boston Univ,Utah
Norfolk St,North Texas
Kansas,N Colorado
Queens NC,Mt St Mary's
Charleston So,Dayton
Utah,UC Davis
St Francis PA,William & Mary
Louisiana Tech,UNLV
East Texas A&M,E Michigan
W Carolina,California
Norfolk St,Towson
Akron,Howard
Michigan,Alabama St
Charleston So,Lipscomb
Indiana,Vanderbilt
SIUE,Armstrong St
Citadel,Baylor
Abilene Chr,NC Central
Nebraska,Texas Tech
Utah,Fresno St
Valparaiso,Seton Hall
Pacific,SF Austin
Columbia,UT San Antonio
IL Chicago,Ohio
Stonehill,Presbyterian
Connecticut,Seattle
Texas,Abilene Chr
Armstrong St,Bellarmine
Colgate,NE Omaha
Texas,Air Force
Kent,Appalachian St
TCU,Belmont
Niagara,Wake Forest
SMU,Wyoming
Delaware St,NJIT
Tulsa,West Georgia
Cal Baptist,Montana St
UNLV,Bucknell
N Kentucky,Texas A&M
Portland St,Georgetown
UT Arlington,UT San Antonio
Belmont,Purdue
Coppin St,Notre Dame
Citadel,Merrimack
Illinois,Seattle
New Mexico St,CS Bakersfield
MA Lowell,E Michigan
Youngstown St,Tulsa
Howard,UNC Asheville
Virginia,MTSU
Texas,High Point
North Carolina,Youngstown St
MTSU,Lehigh
Northeastern,Northwestern LA
Mercyhurst,Virginia
Florida,PFW
New Hampshire,Drake
Morehead St,UNC Asheville
Pepperdine,MS Valley St
Wright St,USC
Dartmouth,UTRGV
UNLV,Seton Hall
NC Central,Morgan St
Idaho St,Ark Pine Bluff
UC Santa Barbara,Butler
UNC Asheville,South Alabama
Colorado,Villanova
Iowa,Wright St
Duquesne,PFW
Ohio St,Illinois
Morgan St,Loyola MD
Brown,Memphis
Toledo,W Texas A&M
N Colorado,Sam Houston St
Dayton,Wofford
Lipscomb,Auburn
Pacific,Northern Iowa
SE Louisiana,Texas A&M
Louisiana Tech,Princeton
Northern Iowa,James Madison
Weber St,Charleston So
Nebraska,W Illinois
Hofstra,Boise St
Mercyhurst,Hampton
North Dakota,W Texas A&M
Bellarmine,NE Omaha
Wisconsin,Oral Roberts
Boise St,Okla City
Tennessee,Utah
Northwestern LA,E Kentucky
Quinnipiac,East Carolina
Canisius,Samford
Furman,Bellarmine
South Florida,Oregon St
Rutgers,C Michigan
WI Milwaukee,FGCU
Samford,Stony Brook
Central Conn,Youngstown St
McNeese St,Missouri St
Indiana,Coppin St
Morgan St,UNLV
Duquesne,N Kentucky
Brooklyn,Portland St
La Salle,California
Kansas St,Denver
MS Valley St,St Francis PA
Winthrop,Valparaiso
Toledo,Kansas
Notre Dame,Louisiana
William & Mary,NC State
Alabama St,Texas
WI Green Bay,UTRGV
North Alabama,Arkansas St
E Michigan,Utah
St Thomas MN,UC Irvine
Washington St,Furman
Rice,UAB
New Mexico,Fordham
East Texas A&M,Morehead St
SMU,New Mexico St
Brooklyn,Colgate
UC Riverside,Vanderbilt
Arizona St,Alliant Intl
Murray St,South Dakota
Ohio St,Lindenwood
Bellarmine,Jackson St
Cal Poly,Boston Univ
Georgia St,Pacific
UT San Antonio,Mississippi
Pittsburgh,Monmouth NJ
CS Fullerton,Louisiana Tech
Loy Marymount,High Point
LSU,Ohio St
NC A&T,Boise St
N Colorado,Oral Roberts
San Diego St,Villanova
East Carolina,Southern Indiana
SE Missouri St,Morris Brown
Clemson,CS Northridge
Rice,St Bonaventure
Southern Univ,Oklahoma St
UCF,W Texas A&M
SC Upstate,Northwestern LA
UCF,Utah Valley
Southern Utah,Texas St
Idaho St,Kansas St
N Illinois,Siena
UC San Diego,Georgetown
WI Milwaukee,Prairie View
UT San Antonio,Armstrong St
Kansas St,TAM C. Christi
Colgate,MD E Shore
Louisville,Tulane
St Bonaventure,G Washington
TX Southern,St Peter's
Yale,Wagner
Detroit,Drexel
Colgate,Boston College
UNLV,Baylor
Vermont,Michigan St
Washington St,New Mexico St
WI Milwaukee,Rhode Island
S Illinois,Montana
Stetson,TN Martin
Troy,Missouri
Missouri KC,Fresno St
Northwestern,UTRGV
Iowa St,Prairie View
Texas,Tarleton St
St Thomas MN,West Georgia
TAM C. Christi,Stonehill
USC,Creighton
Texas A&M,Arkansas St
San Diego,Butler
Northwestern LA,North Dakota
UNC Greensboro,Towson
Kennesaw,Wisconsin
N Colorado,Longwood
Baylor,Army
Illinois,DePaul
Cal Baptist,San Diego St
Monmouth NJ,Evansville
Liberty,Jackson St
Cal Poly,Harvard
San Francisco,Memphis
Le Moyne,South Alabama
Purdue,Connecticut
Hardin-Simmons,Pepperdine
C Michigan,Northwestern
South Dakota,IL Chicago
W Texas A&M,Augusta
Delaware St,Buffalo
Virginia,Northwestern LA
Columbia,Virginia Tech
Southern Utah,Boise St
Morehead St,SUNY Albany
NC State,Old Dominion
Fairfield,McNeese St
George Mason,Wagner
CS Fullerton,Santa Clara
NE Illinois,Quinnipiac
UC Davis,Lafayette
Augusta,Montana
ULM,Nicholls St
SIUE,F Dickinson
Texas,San Diego St
Utah,New Orleans
Penn St,Kansas
Missouri,Central Conn
SC Upstate,Louisiana
UNLV,N Kentucky
Okla City,Binghamton
California,Houston Chr
Furman,Marshall
Delaware St,NC Central
E Washington,St Thomas MN
Murray St,Davidson
Cent Arkansas,Appalachian St
North Florida,Drake
Robert Morris,Bellarmine
Wagner,Tarleton St
St Mary's CA,Bowling Green
Tennessee Tech,Weber St
Alabama St,Penn
Texas Tech,Lipscomb
PFW,Valparaiso
Southern Univ,W Salem St
Robert Morris,E Washington
Holy Cross,Wichita St
Tulane,Arizona
William & Mary,Florida Intl
Ohio St,Le Moyne
San Diego St,E Michigan
Charleston So,Charlotte
Dartmouth,Oral Roberts
Kentucky,Grambling
Pittsburgh,G Washington
BYU,UNC Greensboro
Maine,Jackson St
Virginia,Temple
UNC Wilmington,Bucknell
W Texas A&M,Colgate
Southern Miss,Virginia
Niagara,Rutgers
FGCU,Virginia Tech
W Carolina,Florida A&M
LIU Brooklyn,Montana
Kennesaw,UCLA
Iowa,Oral Roberts
Dayton,Oral Roberts
N Kentucky,Georgia St
Colgate,Minnesota
New Hampshire,Robert Morris
Central Conn,Florida St
Coastal Car,Kansas St
Wright St,Citadel
Tulsa,Chicago St
San Francisco,Arkansas St
Arizona St,Navy
Davidson,Cent Arkansas
Jacksonville,Missouri
Southern Univ,New Mexico St
Tulsa,Illinois St
Illinois,E Michigan
Armstrong St,Iowa St
Marquette,Clemson
Cincinnati,Vermont
Liberty,MD E Shore
Arkansas St,UCLA
Seattle,SMU
Utah St,East Carolina
Wagner,North Alabama
Indiana St,SC Upstate
Rutgers,Kennesaw
Rider,Hardin-Simmons
Louisville,Georgia Tech
Drake,Brown
Pepperdine,Old Dominion
SMU,Auburn
VMI,Northern Iowa
Nebraska,Washington St
Charleston So,NJIT
Georgia St,Rider
Akron,San Diego St
Youngstown St,UNLV
Indiana,Jacksonville St
TN Martin,Kansas St
Virginia,UC Santa Barbara
Navy,Iowa
Le Moyne,Valparaiso
Creighton,South Florida
WI Milwaukee,Norfolk St
Ohio,St John's
SUNY Albany,Hartford
Kansas,C Michigan
Centenary,C Michigan
UCLA,Morgan St
Seattle,Chicago St
American Univ,FGCU
LSU,California
Iowa St,ULM
MTSU,Monmouth NJ
Indiana St,Penn St
Michigan,Pittsburgh
Loy Marymount,Long Beach St
Elon,TCU
Vanderbilt,Louisiana Tech
Iona,Morehead St
UTRGV,Missouri
UTEP,CS Fullerton
Utah St,Valparaiso
North Alabama,Lamar
N Illinois,Kent
Southern Utah,McNeese St
W Texas A&M,Gonzaga
Clemson,Mississippi St
Coppin St,Montana St
Charlotte,Duke
Miami FL,Rice
Kent,Brooklyn
Mercer,MTSU
Evansville,NE Omaha
Chicago St,SF Austin
Arkansas,Kansas St
Kent,Merrimack
Oral Roberts,Wright St
Syracuse,Howard
Longwood,Okla City
Marist,Georgetown
Northwestern LA,Penn St
Oklahoma St,Akron
Hawaii,Morgan St
Georgia Tech,Holy Cross
Prairie View,Charlotte
ULM,UAB
Rider,Oregon St
Armstrong St,WI Milwaukee
UTRGV,Northwestern
MA Lowell,Houston
St Bonaventure,IUPUI
St Joseph's PA,UNC Wilmington
Duke,Prairie View
Morgan St,Loy Marymount
Georgetown,FL Atlantic
Clemson,Southern Miss
